Area_Code,Population,Households,Med_Age,Med_HH_Inc,Avg_HH_Inc
98621,273,123,55.9,45357,58256
98624,1268,630,53.4,45091,58921
98625,7179,2795,46.2,71090,89248
98626,25011,9670,40.0,52988,68593
98628,181,82,54.8,37500,43933
98629,9117,3159,42.5,86228,105483
98631,3335,1688,55.6,38381,52415
98632,50467,20781,41.2,46094,62975
98635,2136,963,52.2,45109,57231
98638,1677,667,45.6,49013,59342
98639,995,443,48.6,63874,71540
98640,4486,2347,60.9,36234,44768
98641,225,118,63.9,35500,41102
98642,19016,6874,41.7,97661,128619
98643,374,173,56.6,44569,56766
98644,624,311,54.1,45694,60659
98645,1524,584,47.1,68750,81006
98647,418,167,50.2,49712,64269
98648,3511,1536,46.3,53872,67751
98649,921,358,47.5,74632,85325
98650,1053,438,46.6,70263,83251
98651,885,365,48.2,60877,77905
98660,13448,5901,38.6,50774,69891
98661,45200,19086,37.0,49358,69137
98662,37582,13860,37.2,65019,79776
98663,15189,6439,40.2,58543,75850
98664,23603,9912,40.6,62862,82478
98665,26676,10661,39.3,61227,79917
98670,128,57,53.6,38409,46360
98671,24644,9068,41.0,79337,94441
98672,6948,2773,43.6,66442,76576
98673,274,117,47.9,47065,60406
98674,13187,4658,39.2,73415,93017
98675,8132,2396,30.9,74866,92382
98682,59098,20186,35.5,68963,81729
98683,33908,14301,41.5,69656,94546
98684,30469,11238,36.8,66134,83224
98685,29219,10656,41.9,94257,120642
98686,19933,7470,41.1,88041,109180
98801,44464,17090,37.8,62120,81860
98802,31837,11668,38.4,64311,78089
98812,4973,1587,33.0,49633,71589
98813,2933,849,28.9,42804,50847
98814,457,213,54.5,47434,67606
98815,8753,3271,39.6,66209,81006
98816,6728,2669,42.7,55660,68498
98822,2356,903,42.8,58408,67962
98823,11250,4141,35.7,65227,79323
98826,7053,3143,50.3,59530,74775
98827,451,176,41.6,44783,53366
98828,2272,802,41.0,67718,83940
98830,549,256,50.6,65566,76604
98831,4321,1596,39.2,51144,68157
98832,577,213,42.2,52083,65495
98833,231,107,53.5,54911,60963
98834,208,94,53.1,48333,66181
98837,42840,15263,33.6,60267,78256
98840,5581,2193,39.9,47323,62234
98841,9012,3643,39.4,52161,63759
98843,2188,711,36.2,60012,77861
98844,4651,2006,47.0,38852,51960
98845,127,54,50.3,48636,59630
98846,1165,463,41.6,48854,67441
98847,1717,680,42.0,62324,81525
98848,12525,3879,30.6,58925,72689
98849,1321,585,52.1,51359,57940
98850,1572,560,37.3,49072,65429
98851,4172,1815,46.2,46460,66759
98852,126,48,46.9,60417,69219
98855,6189,2585,47.8,42012,53982
98856,2701,1349,52.0,46328,64554
98857,4070,1265,30.4,56838,68373
98858,1780,731,46.2,48137,63065
98859,312,148,57.8,35882,53791
98862,2314,1144,55.5,52434,69352
98901,32671,10722,32.7,42476,57562
98902,46370,16855,33.1,43959,56151
98903,15934,5704,37.4,52243,68747
98908,37277,14826,41.2,62166,82567
98922,8506,3823,49.5,59311,71778
98923,1292,409,33.3,57413,78059
98926,34118,13589,29.9,46562,60848
98930,15767,4363,28.5,50431,60619
98932,5644,1420,25.8,49633,63671
98933,1331,365,30.5,50994,61208
98934,1191,466,37.9,62895,70926
98935,4519,1161,27.8,49611,61731
98936,6883,2187,32.9,59773,68086
98937,4209,1617,43.9,61945,75960
98938,2408,649,29.1,61373,77097
98940,746,352,53.3,65407,78374
98941,820,386,48.4,63158,88760
98942,17766,6544,38.2,64513,82480
98944,22341,6107,27.5,45016,65332
98946,587,233,47.8,74250,94041
98947,2849,892,32.9,49643,67144
98948,13421,3529,27.6,44148,56669
98951,13473,3569,29.0,44783,55773
98952,2177,560,28.0,53817,66601
98953,7839,2518,32.5,61873,78019
99001,7338,1983,35.4,43531,54238
99003,5685,2114,47.0,71362,87089
99004,20508,7752,29.8,40965,56499
99005,10053,3377,43.0,81299,97154
99006,12931,4807,41.7,57380,70979
99008,654,269,47.8,46173,61628
99009,4160,1580,47.0,57034,75255
99011,2476,592,22.5,60667,64992
99012,1240,482,42.6,52655,62034
99013,1405,508,39.4,53529,70909
99016,14865,5711,39.1,60980,76913
99017,222,101,46.6,63587,78995
99018,313,119,40.7,52155,60588
99019,10878,4043,38.9,68441,93687
99021,9562,3585,44.9,63928,77890
99022,10386,3776,40.9,52666,64667
99023,600,220,48.9,81250,110302
99025,5591,2013,45.2,68907,78589
99026,9422,3387,46.0,71018,86444
99027,6409,2506,45.4,60776,70697
99029,1313,511,45.6,61250,76619
99030,1119,445,47.1,64728,75565
99031,1305,526,43.9,47750,61324
99032,675,288,46.8,40806,59438
99033,966,393,43.4,59253,72482
99034,299,112,46.4,58000,71750
99036,1742,645,48.6,85085,117468
99037,15259,5693,39.4,60549,78513
99040,993,344,30.4,33947,54778
99101,1448,578,46.6,42696,53773
99103,515,225,51.7,52754,63396
99105,55,26,50.0,50000,52404
99107,229,107,56.3,42841,56355
99109,5372,2296,48.3,41271,50006
99110,1825,656,39.6,48429,63429
99111,4280,1883,42.6,57433,71798
99113,830,349,46.5,74265,88974
99114,12217,5252,48.1,43518,57924
99115,1064,497,53.5,59306,76325
99116,3465,1296,37.4,45794,60008
99117,455,205,56.3,48654,65278
99118,918,373,47.7,46864,66267
99119,1288,533,50.4,48795,66255
99121,74,34,55.6,50000,76485
99122,3926,1578,44.8,55014,66943
99123,899,426,53.5,77469,107278
99125,544,259,47.8,49792,60786
99126,858,367,51.5,46932,61106
99128,428,193,48.3,56090,71130
99129,860,331,39.3,39375,53094
99130,848,379,45.1,62500,71995
